Tue Nov 15 11:22:36 2022    exec.dat

         402176 function calls (356651 primitive calls) in 5.170 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      780    0.003    0.000    0.003    0.000 {built-in method drawLine}
    16881    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.003    0.003    0.003    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/app/backends/_qt.py:879(initializeGL)
     1786    0.003    0.000    0.003    0.000 {built-in method setSizeHint}
      711    0.003    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:573(informViewBoundsChanged)
        1    0.003    0.003    0.003    0.003 {built-in method header}
        6    0.003    0.000    0.003    0.000 {built-in method context}
     4986    0.003    0.000    0.022    0.000 {built-in method builtins.setattr}
     8693    0.003    0.000    0.003    0.000 {method 'get' of 'mappingproxy' objects}
     1425    0.003    0.000    0.008    0.000 /usr/lib/python3.8/enum.py:532(_get_mixins_)
       96    0.003    0.000    0.035    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/field.py:106(refresh)
      116    0.003    0.000    0.064    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:600(paint)
        6    0.002    0.000    0.002    0.000 {built-in method child}
      762    0.002    0.000    0.004    0.000 {built-in method setRenderHint}
    13139    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       12    0.002    0.000    0.002    0.000 {built-in method setFont}
     1389    0.002    0.000    0.002    0.000 {built-in method update}
       20    0.002    0.000    0.002    0.000 {built-in method verticalScrollBar}
      308    0.002    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/parametertree/parameterTypes/basetypes.py:247(eventFilter)
       30    0.002    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/_util.py:50(as_vec4)
      406    0.002    0.000    0.002    0.000 {built-in method drawPixmap}
       96    0.002    0.000    0.042    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/log/g3log_widget.py:48(refresh)
      333    0.002    0.000    0.004    0.000 {built-in method type}
      502    0.002    0.000    0.003    0.000 /usr/lib/python3.8/threading.py:341(notify)
        4    0.002    0.001    0.012    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:742(tickValues)
      475    0.002    0.000    0.009    0.000 /usr/lib/python3.8/enum.py:143(__prepare__)
     2333    0.002    0.000    0.002    0.000 {built-in method normalized}
      266    0.002    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:581(boundingRect)
       94    0.002    0.000    0.002    0.000 {built-in method setText}
      229    0.002    0.000    0.004    0.000 {built-in method alignment}
      708    0.002    0.000    0.002    0.000 /usr/lib/python3.8/weakref.py:471(pop)
      101    0.002    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/TextItem.py:187(updateTransform)
       58    0.002    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:423(draw_robot_status)
       12    0.002    0.000    0.002    0.000 {built-in method setDefaultTextColor}
      708    0.002    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:1065(itemBoundsChanged)
      482    0.002    0.000    0.011    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/thread_safe_buffer.py:39(get)
      223    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/Point.py:17(__init__)
        4    0.002    0.000    0.023    0.006 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:872(generateDrawSpecs)
       20    0.002    0.000    0.002    0.000 {built-in method insertPlainText}
      229    0.002    0.000    0.003    0.000 /usr/lib/python3.8/warnings.py:181(_add_filter)
      154    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      229    0.001    0.000    0.002    0.000 /usr/lib/python3.8/warnings.py:458(__enter__)
       58    0.001    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/validation_layer.py:78(paint)
       94    0.001    0.000    0.001    0.000 {built-in method setHorizontalHeaderLabels}
     4242    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
       12    0.001    0.000    0.001    0.000 {built-in method setPlainText}
     1322    0.001    0.000    0.001    0.000 {built-in method setBrush}
       96    0.001    0.000    0.001    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:239(<listcomp>)
       24    0.001    0.000    0.144    0.006 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:474(_updateView)
      348    0.001    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/core/numeric.py:1873(isscalar)
      960    0.001    0.000    0.001    0.000 {built-in method isVisible}
     1102    0.001    0.000    0.001    0.000 {built-in method setCosmetic}
       20    0.001    0.000    0.037    0.002 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/console/Console.py:215(write)
      229    0.001    0.000    0.004    0.000 /usr/lib/python3.8/warnings.py:165(simplefilter)
      475    0.001    0.000    0.001    0.000 /usr/lib/python3.8/enum.py:175(<dictcomp>)
       58    0.001    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:382(draw_ball_state)
     1140    0.001    0.000    0.001    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:380(_IsWrapperMessage)
