Tue Nov 15 11:33:40 2022    exec.dat

         447384 function calls (399713 primitive calls) in 4.897 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.002    0.001    0.002    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/dockarea/DockArea.py:161(resizeEvent)
      420    0.002    0.000    0.002    0.000 {built-in method drawPixmap}
      100    0.002    0.000    0.022    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/log/g3log_widget.py:48(refresh)
      274    0.002    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:581(boundingRect)
      521    0.002    0.000    0.003    0.000 /usr/lib/python3.8/threading.py:341(notify)
      125    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/eq.py:5(eq)
       12    0.002    0.000    0.002    0.000 {built-in method setPlainText}
       98    0.002    0.000    0.002    0.000 {built-in method setText}
      125    0.002    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/shaders/function.py:190(__setitem__)
       12    0.002    0.000    0.002    0.000 {built-in method setDefaultTextColor}
      475    0.002    0.000    0.011    0.000 /usr/lib/python3.8/enum.py:143(__prepare__)
        3    0.002    0.001    0.002    0.001 {built-in method addWidget}
      127    0.002    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/TextItem.py:187(updateTransform)
       15    0.002    0.000    0.069    0.005 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/transforms/linear.py:245(set_mapping)
      744    0.002    0.000    0.002    0.000 /usr/lib/python3.8/weakref.py:471(pop)
      237    0.002    0.000    0.002    0.000 /usr/lib/python3.8/warnings.py:458(__enter__)
      744    0.002    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:1065(itemBoundsChanged)
        2    0.002    0.001    0.002    0.001 {built-in method builtins.print}
       60    0.002    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:423(draw_robot_status)
       24    0.002    0.000    0.175    0.007 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:474(_updateView)
       60    0.002    0.000    0.008    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/simulator_layer.py:33(paint)
      237    0.002    0.000    0.003    0.000 /usr/lib/python3.8/warnings.py:181(_add_filter)
       98    0.002    0.000    0.002    0.000 {built-in method setHorizontalHeaderLabels}
      169    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       23    0.001    0.000    0.001    0.000 {built-in method insertPlainText}
     1380    0.001    0.000    0.001    0.000 {built-in method setBrush}
      544    0.001    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:475(_prepare_event)
      831    0.001    0.000    0.003    0.000 /usr/lib/python3.8/weakref.py:436(keys)
      360    0.001    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/core/numeric.py:1873(isscalar)
     4329    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      547    0.001    0.000    0.001    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/geometry/rect.py:43(pos)
     1012    0.001    0.000    0.001    0.000 {built-in method isVisible}
       98    0.001    0.000    0.001    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:239(<listcomp>)
      237    0.001    0.000    0.004    0.000 /usr/lib/python3.8/warnings.py:165(simplefilter)
        4    0.001    0.000    0.011    0.003 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:872(generateDrawSpecs)
       38    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
