Tue Nov 15 11:25:06 2022    exec.dat

         676609 function calls (618301 primitive calls) in 10.649 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2059/17    0.015    0.000    6.932    0.408 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:402(__call__)
       30    0.015    0.000    5.245    0.175 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:84(_load_char)
        4    0.015    0.004    0.015    0.004 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1092(glTexImage2D)
      671    0.013    0.000    0.016    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:48(boundingRect)
     1425    0.013    0.000    0.014    0.000 /usr/lib/python3.8/enum.py:543(_find_data_type)
       24    0.013    0.001    0.013    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:293(glDeleteBuffer)
     7774    0.012    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/type_check.py:303(iscomplexobj)
1868/1774    0.012    0.000    0.405    0.000 /usr/lib/python3.8/enum.py:313(__call__)
       10    0.012    0.001    0.012    0.001 {built-in method context}
      143    0.012    0.000    0.017    0.000 {method 'sub' of 're.Pattern' objects}
     5004    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x90b780}
      510    0.012    0.000    0.013    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/functions.py:233(mkColor)
     7774    0.011    0.000    2.744    0.000 <__array_function__ internals>:177(interp)
