Tue Nov 15 12:01:59 2022    exec.dat

         1160897 function calls (1092410 primitive calls) in 5.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1152/9    0.004    0.000    0.791    0.088 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:402(__call__)
       20    0.004    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:409(glDrawArrays)
     7177    0.004    0.000    0.226    0.000 <__array_function__ internals>:177(interp)
     5452    0.004    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:33(_is_sunder)
     1392    0.004    0.000    0.009    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/AxisItem.py:581(boundingRect)
     1812    0.004    0.000    0.039    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ScatterPlotItem.py:76(drawSymbol)
     2417    0.004    0.000    0.004    0.000 {built-in method drawPixmap}
      140    0.004    0.000    0.004    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     4237    0.004    0.000    0.006    0.000 {built-in method setRenderHint}
      302    0.004    0.000    0.010    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:423(draw_robot_status)
     2693    0.003    0.000    0.011    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsItem.py:573(informViewBoundsChanged)
        1    0.003    0.003    0.003    0.003 {built-in method gc.get_objects}
     4502    0.003    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:12(_is_descriptor)
       20    0.003    0.000    0.003    0.000 {built-in method currentThread}
       50    0.003    0.000    0.543    0.011 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:237(_text_to_vbo)
7093/6999    0.003    0.000    0.004    0.000 /usr/lib/python3.8/enum.py:631(__new__)
     7177    0.003    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/lib/type_check.py:303(iscomplexobj)
    39052    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      475    0.003    0.000    0.090    0.000 /usr/lib/python3.8/enum.py:430(_create_)
     7177    0.003    0.000    0.010    0.000 <__array_function__ internals>:177(iscomplexobj)
