Tue Nov 15 12:00:56 2022    exec.dat

         1158139 function calls (1089395 primitive calls) in 4.889 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      210    0.005    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:42(glBindBuffer)
    12906    0.005    0.000    0.005    0.000 {built-in method mapRectFromParent}
   1247/9    0.005    0.000    0.845    0.094 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/util/event.py:402(__call__)
        1    0.005    0.005    0.005    0.005 {built-in method gc.get_objects}
    69131    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        7    0.005    0.001    0.005    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:266(glCreateProgram)
      160    0.005    0.000    0.005    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       28    0.005    0.000    0.175    0.006 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/text/text.py:664(<listcomp>)
11844/4146    0.005    0.000    0.026    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:276(_FieldToJsonObject)
     3267    0.005    0.000    0.005    0.000 {method 'match' of 're.Pattern' objects}
        6    0.005    0.001    0.005    0.001 {built-in method setStyleSheet}
7282/7188    0.005    0.000    0.100    0.000 /usr/lib/python3.8/enum.py:313(__call__)
       14    0.005    0.000    0.008    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/glir.py:623(_convert_desktop_shader)
        7    0.005    0.001    0.005    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:951(glLinkProgram)
